Order	Family	Species	Median	Genome Size (Mb)	Assembly Level	Repeats	Gene Number	WGD events	Reference	DOI	WGDeventscount
Buxales	Buxaceae	Buxus austro-yunnensis	14	663.9	chromosome	65.86%	25542	WGD	Wang et al., 2022	https://doi.org/10.1186/s12915-022-01420-1	1
Buxales	Buxaceae	Buxus sinica	14	850	chromosome	76.40%	27027	WGD	Chanderbali et al., 2022	https://doi.org/10.1038/s41467-022-28312-w	1
Buxales	Buxaceae	Tetracentron sinense	19	975	chromosome	78.50%	30704	WGD+WGD	Chanderbali et al., 2022	https://doi.org/10.1038/s41467-022-28312-w	2
Caryophyllales	Amaranthaceae	Amaranthus cruentus	17	376.4	chromosome	58.00%	25477	Epsilon+Gamma+WGD	Ma et al., 2021	https://doi.org/10.1111/tpj.15298	3
Caryophyllales	Amaranthaceae	Amaranthus hybridus	16	503.8	scaffold		24325	Epsilon+Gamma+WGD	Montgomery et al., 2020	https://doi.org/10.1093/gbe/evaa177	3
Caryophyllales	Amaranthaceae	Amaranthus hypochondriacus	16	431.8	chromosome	48.00%	23847	Epsilon+Gamma+WGD	Lightfoot et al., 2017	https://doi.org/10.1186/s12915-017-0412-4	3
Caryophyllales	Amaranthaceae	Amaranthus palmeri		421.8	scaffold	58.00%	29758	Epsilon+Gamma+WGD	Montgomery et al., 2020	https://doi.org/10.1093/gbe/evaa177	3
Caryophyllales	Amaranthaceae	Amaranthus tricolor	17	562.5	chromosome	68.00%	27813	Epsilon+Gamma+WGD	Wang et al., 2023	https://doi.org/10.1093/dres/dsac050	3
Caryophyllales	Amaranthaceae	Amaranthus tuberculatus	16	675.6	scaffold	69.00%	26784	Epsilon+Gamma+WGD	Montgomery et al., 2020	https://doi.org/10.1093/gbe/evaa177	3
Caryophyllales	Cactaceae	Hylocereus undatus	11	1440	chromosome	58.89%	28992	Epsilon+Gamma+WGD	Zheng et al., 2021	https://doi.org/10.1038/s41438-021-00501-6	3
Caryophyllales	Caryophyllaceae	Dianthus caryophyllus	15	622	scaffold	33.00%	43266		Yagi et al., 2014	https://doi.org/10.1093/dres/dst053	
Caryophyllales	Caryophyllaceae	Heliosperma pusillum		1300	scaffold	71.00%	25661		Szukala et al., 2022	https://doi.org/10.1111/mec.16393	
Caryophyllales	Caryophyllaceae	Silene latifolia - male	12	2800	scaffold	61.40%			Krasovec et al., 2018	https://doi.org/10.1016/j.cub.2018.04.069	
Caryophyllales	Chenopodiaceae	Beta patula	9	653	chromosome	40.00%	25127	Epsilon+Gamma	Río et al., 2019 	https://doi.org/10.1111/tpj.14413	2
Caryophyllales	Chenopodiaceae	Beta vulgaris ssp. Maritima	9	567	chromosome	51.00%	27662	Epsilon+Gamma	Río et al., 2019 	https://doi.org/10.1111/tpj.14413	2
Caryophyllales	Chenopodiaceae	Beta vulgaris ssp. vulgaris	9	714	chromosome	63.00%	27421	Epsilon+Gamma	Dohm et al., 2014	https://doi.org/10.1038/ture12817	2
Caryophyllales	Chenopodiaceae	Chenopodium formosanum Koidz.	27	1693	chromosome	67.80%	75056	WGT 6x	Jarvis et al., 2022	https://doi.org/10.1093/gbe/evac120	4
Caryophyllales	Chenopodiaceae	Chenopodium pallidicaule	9	337	chromosome	53.00%	22832	WGD 2x	Mangelson et al., 2019	https://doi.org/10.1002/aps3.11300	2
Caryophyllales	Chenopodiaceae	Chenopodium quinoa Willd.	18	1450	scaffold	64.00%	44776	WGD 4x	Jarvis et al., 2017	https://doi.org/10.1038/ture21370	3
Caryophyllales	Chenopodiaceae	Kochia scoparia	9	711	scaffold	6.25%	47414	Epsilon+Gamma	Patterson et al., 2019	https://doi.org/10.1093/gbe/evz198	2
Caryophyllales	Chenopodiaceae	Spicia oleracea L.	6	956.2	chromosome	69.44%	34877	Epsilon+Gamma	Hulse-Kemp et al., 2021	https://doi.org/10.1002/tpg2.20101	2
Caryophyllales	Chenopodiaceae	Suaeda aralocaspica	9	467	scaffold	38.41%	29604	Epsilon+Gamma	Wang et al., 2019	https://doi.org/10.1093/gigascience/giz116	2
Caryophyllales	Droseraceae	Aldrovanda vesiculosa	24	509	scaffold	17.50%	25123	WGD+WGD	Palfalvi et al., 2020	https://doi.org/10.1016/j.cub.2020.04.051	2
Caryophyllales	Droseraceae	Dioea muscipula	16	3180	scaffold	38.78%	21135	WGD	Palfalvi et al., 2020	https://doi.org/10.1016/j.cub.2020.04.051	1
Caryophyllales	Droseraceae	Drosera spatulata	20	323	scaffold	5.70%	18111	WGD	Palfalvi et al., 2020	https://doi.org/10.1016/j.cub.2020.04.051	1
Caryophyllales	Kewaceae	Kewa caespitosa		623	scaffold		50661		Pucker et al., 2020	https://doi.org/10.1101/646133	
Caryophyllales	Mollugiceae	Macarthuria australis		497.5	scaffold		80236		Pucker et al., 2020	https://doi.org/10.1101/646133	
Caryophyllales	Mollugiceae	Pharceum exiguum		265	scaffold		26155		Pucker et al., 2020	https://doi.org/10.1101/646133	
Caryophyllales	Plumbagiceae	Limonium bicolor	8	2920	chromosome	82.30%	38444		Yuan et al., 2022	https://doi.org/10.1016/j.molp.2022.04.011	
Caryophyllales	Polygoceae	Fagopyrum esculentum	8	1200	scaffold	64.80%	29514		Penin et al., 2021	https://doi.org/10.3389/fpls.2021.612382	
Caryophyllales	Polygoceae	Polygonum cuspidatum	44	2600	scaffold	71.54%	55075		Zhang et al., 2019	https://doi.org/10.3389/fpls.2019.01274	
Caryophyllales	Simmondsiaceae	Simmondsia chinensis	26	887	chromosome	69.33%	23490	Epsilon+Gamma+WGT	Sturtevant et al., 2020	https://doi.org/10.1126/sciadv.aay3240	2
Celastrales	Celastraceae	Tripterygium wilfordii	23	365.95	chromosome	52.36%	28321	WGT+WGT	Tu et al., 2020	https://doi.org/10.1038/s41467-020-14776-1	2
Chloranthales	Chloranthaceae	Chloranthus spicatus	15	2970	chromosome	70.09%	21392	K-WGD	Guo et al., 2021	https://doi.org/10.1038/s41467-021-26922-4	1
Corles	Corceae	Cornus controversa	10	768.81	chromosome	52.23%	39886	Epsilon+Gamma+WGD	Dong et al., 2023	https://doi.org/10.1093/dres/dsac051	3
Corles	Hydrangeaceae	Hydrangea macrophylla	18	2200	chromosome		36930		shima et al., 2021	https://doi.org/10.1093/dres/dsaa026	
Corles	Nyssaceae	Nyssa sinensis	22	1051.16	chromosome	66.40%	37884		Yang et al., 2019	https://doi.org/10.1038/s41597-019-0296-y	
Corles	Nyssaceae	Nyssa yunnensis		1640	scaffold	54.24%	39803		Mu et al., 2020	https://doi.org/10.46471/gigabyte.4	
Cucurbitales	Begoniaceae	Begonia darthvaderia	15	797	chromosome	70.33%	23444	Epsilon+Gamma+WGD	Li et al., 2022	https://doi.org/10.1111/nph.17949	3
Cucurbitales	Begoniaceae	Begonia loranthoides	19	724	chromosome	66.52%	22059	Epsilon+Gamma+WGD	Li et al., 2022	https://doi.org/10.1111/nph.17949	3
Cucurbitales	Begoniaceae	Begonia masonia	15	806	chromosome	68.40%	22861	Epsilon+Gamma+WGD	Li et al., 2022	https://doi.org/10.1111/nph.17949	3
Cucurbitales	Begoniaceae	Begonia peltatifolia	15	349	chromosome	51.47%	23010	Epsilon+Gamma+WGD	Li et al., 2022	https://doi.org/10.1111/nph.17949	3
Cucurbitales	Cucurbitaceae	Benincasa hispida	12	1030	chromosome	75.50%	27467	Epsilon+Gamma+CCT-WGD	Xie et al., 2019	https://doi.org/10.1038/s41467-019-13185-3	3
Cucurbitales	Cucurbitaceae	Citrullus latus subsp. Cordophanus	11	367.9	chromosome	57.70%	23043		Renner et al., 2021	https://doi.org/10.1073/ps.2101486118	
Cucurbitales	Cucurbitaceae	Cucumis melo	12	398.57	chromosome	48.27%	22924		Zhang et al., 2019	https://doi.org/10.1016/j.isci.2019.10.049	
Cucurbitales	Cucurbitaceae	Cucumis sativus	7	350	chromosome	36.43%	24317		Li et al., 2019	https://doi.org/10.1093/gigascience/giz072	
Cucurbitales	Cucurbitaceae	Cucurbita argyrosperma	20	263.5	scaffold	34.10%	28298	Epsilon+Gamma+WGD	Barrera-Redondo et al., 2019	https://doi.org/10.1016/j.molp.2018.12.023	3
Cucurbitales	Cucurbitaceae	Cucurbita maxima	20	386.8	chromosome	69.90%	32076	Epsilon+Gamma+WGD	Sun et al., 2017	https://doi.org/10.1016/j.molp.2017.09.003	3
Cucurbitales	Cucurbitaceae	Cucurbita moschata	20	372	chromosome	62.90%	32205	Epsilon+Gamma+WGD	Sun et al., 2017	https://doi.org/10.1016/j.molp.2017.09.003	3
Cucurbitales	Cucurbitaceae	Cucurbita pepo	20	263.5	chromosome	37.80%	27870	Epsilon+Gamma+WGD	Montero-Pau et al., 2017	https://doi.org/10.1111/pbi.12860	3
Cucurbitales	Cucurbitaceae	Gynostemma pentaphyllum	11	635	chromosome	59.14%	25282		Huang et al., 2021	https://doi.org/10.1093/dres/dsab018	
Cucurbitales	Cucurbitaceae	Lageria siceraria	11	272	chromosome	45.00%	23541		Xu et al., 2021	https://doi.org/10.1111/tpj.15358	
Cucurbitales	Cucurbitaceae	Luffa acutangula	13	734.6	chromosome	62.17%	32233	Epsilon+Gamma+CCT-WGD	Pootakham et al., 2020	https://doi.org/10.1111/1755-0998.13240	3
Cucurbitales	Cucurbitaceae	Luffa cylindrica	13	689.8	chromosome	56.78%	43828	Epsilon+Gamma+CCT-WGD	Pootakham et al., 2020	https://doi.org/10.1111/1755-0998.13240	3
Cucurbitales	Cucurbitaceae	Momordica charantia	11	286.4	chromosome	45.59%	20068	Epsilon+Gamma+CCT-WGD	Fu et al., 2023	https://doi.org/10.1093/hr/uhac228	3
Dioscoreales	Dioscoreaceae	Dioscorea alata	20	416	chromosome		25189	Epsilon+Tau+Sigma+WGD+WGD	Bredeson et al., 2022	https://doi.org/10.1038/s41467-022-29114-w	5
Dioscoreales	Dioscoreaceae	Dioscorea dumetorum	20	254	scaffold		35269		Siadjeu et al., 2020	https://doi.org/10.3390/genes11030274	
Dioscoreales	Dioscoreaceae	Dioscorea zingiberensis	10	629	chromosome	56.50%	30322	WGD+WGD	Li et al., 2022	https://doi.org/10.1093/hr/uhac165	2
Dipsacales	Caprifoliaceae	Lonicera japonica	9	817.45	chromosome	64.76%	39320		Yu et al., 2022	https://doi.org/10.1038/s41597-022-01385-4	
Ericales	Actinidiaceae	Actinidia arguta M1	58	2770	chromosome	49.38%	186191	Epsilon+Gamma+WGD+WGD+WGD	Lu et al., 2024	https://doi.org/10.1016/j.xplc.2024.100856	5
Ericales	Actinidiaceae	Actinidia chinensis	29	637	chromosome	51.42%	41317	Epsilon+Gamma+WGD+WGD	Xue Han et al., 2022	https://doi.org/10.1016/j.molp.2022.12.022	4
Ericales	Actinidiaceae	Actinidia eriantha cv. White	29	745.3	chromosome	43.30%	42988	Epsilon+Gamma+WGD+WGD	Wei Tang et al., 2019	https://doi.org/10.1093/gigascience/giz027	4
Ericales	Actinidiaceae	Actinidia latifolia	29	637	chromosome	49.76%	42685	Epsilon+Gamma+WGD+WGD	Xue Han et al., 2022	https://doi.org/10.1016/j.molp.2022.12.022	4
Ericales	Ebeceae	Diospyros lotus -seeded	15	616	chromosome	73.81%	22844		Mao et al., 2021	https://doi.org/10.48130/FR-2021-0009	
Ericales	Ebeceae	Diospyros lotus -seedless	15	682	chromosome	69.56%	20689		Mao et al., 2021	https://doi.org/10.48130/FR-2021-0009	
Ericales	Ebeceae	Diospyros oleifera Cheng	15	868.41	chromosome	54.80%	30530		Suo et al., 2020	https://doi.org/10.1093/gigascience/giz164	
Ericales	Ericaceae	Arctostaphylos glauca	13	600	chromosome	57.71%			Huang et al., 2021	https://doi.org/10.1093/jhered/esab071	
Ericales	Ericaceae	Rhododendron delavayi Franch.	13	697.94	scaffold	51.77%	32938	Epsilon+Gamma+WGD	Zhang et al., 2017	https://doi.org/10.1093/gigascience/gix076	3
Ericales	Ericaceae	Rhododendron griersonianum	13	750	chromosome	57.00%	52016	Epsilon+Gamma+WGD	Ma et al., 2021	https://doi.org/10.1111/tpj.15399	3
Ericales	Ericaceae	Rhododendron henense	13	654.12	chromosome	65.76%	31098	Epsilon+Gamma+WGD	Zhou et al., 2021	https://doi.org/10.1111/1755-0998.13529	3
Ericales	Ericaceae	Rhododendron molle	13	700.18	chromosome	63.52%	39288	Epsilon+Gamma+WGD	Zhou et al., 2022	https://doi.org/10.1186/s12870-022-03720-8	3
Ericales	Ericaceae	Rhododendron ovatum	13	529	chromosome	44.71%	41264	Epsilon+Gamma+WGD	Wang et al., 2021	https://doi.org/10.1111/pbi.13680	3
Ericales	Ericaceae	Rhododendron simsii	13	525	chromosome	47.48%	32999	Epsilon+Gamma+WGD	Yang et al., 2020	https://doi.org/10.1038/s41467-020-18771-4	3
Ericales	Ericaceae	Rhododendron williamsianum	13	650.8	chromosome	26.40%	23559	Epsilon+Gamma+WGD	Soza et al., 2019	https://doi.org/10.1093/gbe/evz245	3
Ericales	Ericaceae	Vaccinium bracteatum	12	579.42	chromosome	57.78%	36756	Epsilon+Gamma+WGD	Yang et al., 2022	https://doi.org/10.48130/FruRes-2022-0008	3
Ericales	Ericaceae	Vaccinium corymbosum	24	1630	chromosome	44.30%	128559	Epsilon+Gamma+WGD+WGD	Colle et al., 2019	https://doi.org/10.1093/gigascience/giz012	4
Ericales	Ericaceae	Vaccinium darrowii	12	565.7	chromosome	45.74%	34809	Epsilon+Gamma+WGD	Yu et al., 2021	https://doi.org/10.1038/s41438-021-00641-9	3
Ericales	Ericaceae	Vaccinium macrocarpon Ait.	12	492.78	chromosome	51.75%	23532	Epsilon+Gamma+WGD	Diaz-Garcia et al., 2021	https://doi.org/10.3389/fpls.2021.633310	3
Ericales	Ericaceae	Vaccinium microcarpum	12	764.21	chromosome	40.96%	30147	Epsilon+Gamma+WGD	Diaz-Garcia et al., 2021	https://doi.org/10.3389/fpls.2021.633310	3
Ericales	Ericaceae	Vaccinium myrtillus	12	600	chromosome	48.00%	36404	Epsilon+Gamma+WGD	Wu et al., 2021	https://doi.org/10.1111/1755-0998.13467	3
Ericales	Polemoniaceae	Linthus parryae	9	1960	chromosome	71.99%			Anghel et al., 2022	https://doi.org/10.1093/jhered/esac052	
Ericales	Primulaceae	Aegiceras corniculatum		827	scaffold	72.10%	32092	Epsilon+Gamma+WGD	Feng et al., 2021	https://doi.org/10.1111/nph.17551	3
Ericales	Primulaceae	Primula veris	11	479.22	scaffold	7.00%	19507		Nowak et al., 2015	https://doi.org/10.1186/s13059-014-0567-z	
Ericales	Primulaceae	Primula veris	11	479.22	scaffold		19507	Epsilon+Gamma	Nowak et al., 2015	https://doi.org/10.1186/s13059-014-0567-z	2
Ericales	Primulaceae	Primula vulgaris	11	459	scaffold	37.00%	29087		Cocker et al., 2018	https://doi.org/10.1038/s41598-018-36304-4	
Ericales	Theaceae	Camellia chekiangoleosa	15	2730	chromosome	79.09%	64608	Epsilon+Gamma+WGD	Shen et al., 2022	https://doi.org/10.1093/hr/uhab083	3
Ericales	Theaceae	Camellia lanceoleosa	15	3140	chromosome	80.63%	54172	Epsilon+Gamma+WGD	Gong et al., 2022	https://doi.org/10.1111/tpj.15739	3
Ericales	Theaceae	Camellia sinensis	15	3150	chromosome	78.20%	42825	Epsilon+Gamma+WGD	Zhang et al., 2021	https://doi.org/10.1038/s41588-021-00895-y	3
Ericales	Theaceae	oil-Camellia	15	2950	chromosome	69.00%	42426	Epsilon+Gamma+WGD	Lin et al., 2022	https://doi.org/10.1186/s13059-021-02599-2	3
Fabales	Fabaceae	Arachis duranensis	10	1211	chromosome	61.70%	36734	Epsilon+Gamma+WGD	Bertioli et al., 2016	https://doi.org/10.1038/ng.3517	3
Fabales	Fabaceae	Arachis hypogaea	20	2700	chromosome	77.65%	83709	Epsilon+Gamma+WGD+WGD	Zhuang et al., 2019	https://doi.org/10.1038/s41588-019-0402-2	4
Fabales	Fabaceae	Arachis ipaensis	10	1512	chromosome	68.50%	41840	Epsilon+Gamma+WGD	Bertioli et al., 2016	https://doi.org/10.1038/ng.3517	3
Fabales	Fabaceae	Bauhinia variegata	14	327	chromosome	27.22%	37996	Epsilon+Gamma+WGD	Zhong et al., 2022	https://doi.org/10.1093/dres/dsac012	3
Fabales	Fabaceae	Cajanus cajan Millsp.	11	858	chromosome	51.67%	40071	Epsilon+Gamma+WGD	Varshney et al., 2011	https://doi.org/10.1038/nbt.2022	3
Fabales	Fabaceae	Calophaca sinica Rehd. 1933	8	1060	chromosome	73.00%	28977	Epsilon+Gamma+WGD	Cao et al., 2024	https://doi.org/10.1093/dres/dsae011	3
Fabales	Fabaceae	Cercis chinensis	7	330	chromosome	50.28%	30612	Epsilon+Gamma	Li et al., 2023	https://doi.org/10.1016/j.xplc.2022.100422	2
Fabales	Fabaceae	Cicer arietinum	8	738.09	chromosome	49.41%	28269	Epsilon+Gamma+WGD	Varshney et al., 2013	https://doi.org/10.1038/nbt.2491	3
Fabales	Fabaceae	Cicer reticulatum	8	802.003	chromosome	63.00%	25680	Epsilon+Gamma+WGD	Gupta et al., 2017	https://doi.org/10.1093/dres/dsw042	3
Fabales	Fabaceae	Cyamopsis tetragonoloba Taub.	7	543.22	chromosome	42.14%	37509		Gaikwad et al., 2020	https://doi.org/10.1101/2020.05.16.098434	
Fabales	Fabaceae	Entada phaseoloides	14	456	chromosome	52.70%	24894	Epsilon+Gamma+WGD	Lin et al., 2022	https://doi.org/10.1111/1755-0998.13662	3
Fabales	Fabaceae	Glycine latifolia	20	978	chromosome	41.00%	54475	Epsilon+Gamma+WGD+WGD	Liu et al., 2018	https://doi.org/10.1111/tpj.13931	4
Fabales	Fabaceae	Glycine max	20	1115	chromosome	57.00%	46430	Epsilon+Gamma+WGD+WGD	Schmutz et al., 2010	https://doi.org/10.1038/ture08670	4
Fabales	Fabaceae	Glycyrrhiza uralensis	8	397	chromosome	61.70%	32941	Epsilon+Gamma+WGD	Rai et al., 2022	https://doi.org/10.1093/dres/dsac043	3
Fabales	Fabaceae	Lathyrus sativus	7	3800	chromosome	83.31%	50106		Rajarammohan et al., 2023	https://doi.org/10.1038/s41597-022-01903-4	
Fabales	Fabaceae	Lotus japonicus	6	500	chromosome	46.96%	30243	Epsilon+Gamma+WGD	Kamal et al., 2020	https://doi.org/10.1093/dres/dsaa015	3
Fabales	Fabaceae	Lupinus albus	25	584.51	chromosome	43.86%	48719	Epsilon+Gamma+WGD+WGT	Xu et al., 2020	https://doi.org/10.1038/s41467-020-14891-z	4
Fabales	Fabaceae	Lupinus angustifolius	20	924	chromosome	54.37%	33076	Epsilon+Gamma+WGD+WGT	Hane et al., 2016	https://doi.org/10.1111/pbi.12615	4
Fabales	Fabaceae	Macrotyloma uniflorum	10	343.6	chromosome	29.00%	46095		Shirasawa et al., 2021	https://doi.org/10.46471/gigabyte.30	
Fabales	Fabaceae	Medicago polymorpha	7	505.19	chromosome	38.04%	36087	Epsilon+Gamma+WGD	Cui et al., 2021	https://doi.org/10.1038/s41438-021-00483-5	3
Fabales	Fabaceae	Medicago ruthenica	8	902.97	chromosome	68.63%	50268	Epsilon+Gamma+WGD	Yin et al., 2021	https://doi.org/10.1111/1755-0998.13363	3
Fabales	Fabaceae	Medicago truncatula	8	465	chromosome		50894	Epsilon+Gamma+WGD	Tang et al., 2014	https://doi.org/10.1186/1471-2164-15-312	3
Fabales	Fabaceae	Melilotus officilis	8	1080	chromosome	71.35%	47873	Epsilon+Gamma+WGD	Meng et al., 2024	https://doi.org/10.1186/s12863-024-01224-y	3
Fabales	Fabaceae	Mucu pruriens	11	500.49	chromosome	39.75%	28010	Epsilon+Gamma+WGD	Hao et al., 2022	https://doi.org/10.1093/dres/dsac031	3
Fabales	Fabaceae	Oxytropis ochrocephala	8	958.83	chromosome	75.66%	31700	Epsilon+Gamma+WGD	Zhang et al., 2022	https://doi.org/10.1111/1755-0998.13695	3
Fabales	Fabaceae	Phaseolus lutus	11	622	chromosome	41.00%	28326	Epsilon+Gamma+WGD	Garcia et al., 2021	https://doi.org/10.1038/s41467-021-20921-1	3
Fabales	Fabaceae	Phaseolus vulgaris	11	587	chromosome	45.42%	27197	Epsilon+Gamma+WGD	Schmutz et al., 2014	https://doi.org/10.1038/ng.3008	3
Fabales	Fabaceae	Prosopis cineraria	14	707	chromosome	58.00%	76554		Sudalaimuthuasari et al., 2022	https://doi.org/10.3390/ijms23158503	
Fabales	Fabaceae	Pueraria lobata var. monta	11	1257.56	chromosome	77.75%	38812	Epsilon+Gamma+WGD+WGD	Mo et al., 2022	https://doi.org/10.1093/dres/dsac030	4
Fabales	Fabaceae	Pueraria lobata var. thomsonii	11	1350	chromosome	62.70%	45270	Epsilon+Gamma+WGD+WGD	Shang et al., 2022	https://doi.org/10.1093/hr/uhab035	4
Fabales	Fabaceae	Sen tora	13	547	chromosome	53.90%	45268	Epsilon+Gamma+WGD	Kang et al., 2020	https://doi.org/10.1038/s41467-020-19681-1	3
Fabales	Fabaceae	Spatholobus suberectus	9	793	chromosome	47.82%	31634		Qin et al., 2019	https://doi.org/10.1038/s41597-019-0110-x	
Fabales	Fabaceae	Styphnolobium japonicum	14	539	chromosome	38.54%	34568	Epsilon+Gamma+WGD	Chen et al., 2022	https://doi.org/10.1016/j.indcrop.2022.115336	3
Fabales	Fabaceae	Trifolium pratense	7	418	chromosome	45.14%	44588		Ištvánek et al., 2014, Yan et al., 2022	https://doi.org/10.3732/ajb.1300340	
Fabales	Fabaceae	Trifolium subterraneum	8	540	chromosome	64.00%	31272		Kaur et al., 2017	https://doi.org/10.1111/pbi.12697	
Fabales	Fabaceae	Vicia sativa	6	1610	chromosome	84.37%	58330	Epsilon+Gamma+WGD	Xi et al., 2021	https://doi.org/10.46471/gigabyte.38	3
Fabales	Fabaceae	Vig angularis	11	538	chromosome	44.51%	34183	Epsilon+Gamma+WGD	Yang et al., 2015	https://doi.org/10.1073/ps.1420949112	3
Fabales	Fabaceae	Vig mungo	11	574	chromosome	41.10%	29411	Epsilon+Gamma+WGD	Pootakham et al., 2020	https://doi.org/10.1111/1755-0998.13243	3
Fabales	Fabaceae	Vig radiata	11	543	chromosome	50.10%	22427	Epsilon+Gamma+WGD	Kang et al., 2014	https://doi.org/10.1038/ncomms6443	3
Fabales	Fabaceae	Vig unguiculata ssp. Sesquipedialis	11	590	chromosome	46.47%	42609	Epsilon+Gamma+WGD	Xia et al., 2019	https://doi.org/10.1038/s41597-019-0130-6	3
Fagales	Betulaceae	Betula L. birch	14	441	chromosome	43.00%	31253	Epsilon+Gamma	Chen et al., 2021	https://doi.org/10.1038/s41438-021-00481-7	2
Fagales	Betulaceae	Carpinus fangia	8	396.74	chromosome	41.08%	27381		Yang et al., 2020	https://doi.org/10.1038/s41597-020-0370-5	
Fagales	Betulaceae	Corylus avella	11	378	chromosome	11.87%	27270	Epsilon+Gamma	Lucas et al., 2020	https://doi.org/10.1111/tpj.15099	2
Fagales	Betulaceae	Corylus mandshurica	11	367.67	chromosome	68.74%	28409	Epsilon+Gamma	Li et al., 2021	https://doi.org/10.1038/s41438-021-00495-1	2
Fagales	Casuariceae	Casuari equisetifolia	9	300	scaffold	33.00%	29827	Epsilon+Gamma+WGD	Ye et al., 2018	https://doi.org/10.1111/tpj.14159	3
Fagales	Fagaceae	Carya cathayensis	16	721.33	chromosome	53.67%	32907	Epsilon+Gamma+WGD	Huang et al., 2019	https://doi.org/10.1093/gigascience/giz036	3
Fagales	Fagaceae	Carya illinoinensis	16	649.75	chromosome	50.43%	31075	Epsilon+Gamma+WGD	Huang et al., 2019	https://doi.org/10.1093/gigascience/giz036	3
Fagales	Fagaceae	Castanea creta Sieb. et Zucc.	12	665.9	chromosome	59.00%	69980	Epsilon+Gamma	Shirasawa et al., 2021	https://doi.org/10.1093/dres/dsab016	2
Fagales	Fagaceae	Castanea mollissima	12	772	scaffold	49.69%	36479	Epsilon+Gamma	Xing et al., 2019	https://doi.org/10.1093/gigascience/giz112	2
Fagales	Fagaceae	Fagus sylvatica	12	535.4	chromosome	57.12%	63736		Mishra et al., 2022	https://doi.org/10.3389/fgene.2021.691058	
Fagales	Fagaceae	Juglans cathayensis	16	751.37	scaffold	48.03%	34066	Epsilon+Gamma+WGD	Trouern-Trend et al., 2019	https://doi.org/10.1111/tpj.14630	3
Fagales	Fagaceae	Juglans hindsii	16	605.7	scaffold	46.97%	28664	Epsilon+Gamma+WGD	Trouern-Trend et al., 2019	https://doi.org/10.1111/tpj.14630	3
Fagales	Fagaceae	Juglans mandshurica	16	548	chromosome	62.42%	29032	Epsilon+Gamma+WGD	Yan et al., 2021	https://doi.org/10.1111/1755-0998.13394	3
Fagales	Fagaceae	Juglans microcarpa	16	1056	chromosome	40.86%	29496	Epsilon+Gamma+WGD	Zhu et al., 2019	https://doi.org/10.1038/s41438-019-0139-1	3
Fagales	Fagaceae	Juglans nigra	16	540.8	chromosome	44.60%	29506	Epsilon+Gamma+WGD	Zhou et al., 2023	https://doi.org/10.1093/hr/uhad015	3
Fagales	Fagaceae	Juglans regia	16	606	chromosome	58.40%	37554	Epsilon+Gamma+WGD	Marrano et al., 2020	https://doi.org/10.1093/gigascience/giaa050	3
Fagales	Fagaceae	Juglans sigillata	16	619	chromosome	50.06%	30387	Epsilon+Gamma+WGD	Ning et al., 2020	https://doi.org/10.1093/gigascience/giaa006	3
Fagales	Fagaceae	Quercus lobata	12	730	scaffold	52.00%	61773	Epsilon+Gamma	Sork et al., 2016	https://doi.org/10.1534/g3.116.030411	2
Fagales	Fagaceae	Quercus mongolica Fisch.	12	842.8	chromosome	53.75%	36553	Epsilon+Gamma	Ai et al., 2022	https://doi.org/10.1111/1755-0998.13616	2
Garryales	Eucommiaceae	Eucommia ulmoides	17	1020	chromosome	62.50%	26001	Epsilon+Gamma+WGD	Li et al., 2020	https://doi.org/10.1038/s41438-020-00406-w	3
Gentiales	Apocyceae	Calotropis gigantea	11	225	scaffold	28.30%	18436	Epsilon+Gamma	Hoopes et al., 2018	https://doi.org/10.1534/g3.117.300331	2
Gentiales	Apocyceae	Rhazya stricta	11	274	scaffold	16.00%	21164	Epsilon+Gamma	Sabir et al., 2016	https://doi.org/10.1038/srep33782	2
Gentiales	Apocyceae	Vinca minor	23	504	scaffold	48.03%	29624	Epsilon+Gamma	Stander et al., 2022	https://doi.org/10.1093/g3jourl/jkac268	2
Gentiales	Apocyceae	Voacanga thouarsii	11	1351.26	scaffold	75.16%	33300	Epsilon+Gamma	Cuello et al., 2022	https://doi.org/10.1093/gbe/evac158	2
Gentiales	Gentiaceae	Gentia dahurica	13	1317	chromosome	70.25%	37988	Epsilon+Gamma+WGD+WGD	Li et al., 2022	https://doi.org/10.1093/dres/dsac008	4
Gentiales	Gentiaceae	Gentia macrophylla	13	1790	chromosome	73.47%	55337	Epsilon+Gamma+WGD+WGD	Zhou et al., 2022	https://doi.org/10.1093/dres/dsac034	4
Gentiales	Rubiaceae	Coffea arabica	22	1300	chromosome		24478	Epsilon+Gamma+WGD	Tran et al., 2018	https://doi.org/10.1111/pbi.12912	3
Gentiales	Rubiaceae	Coffea canephora 	11	710	chromosome	50.00%	25574	Epsilon+Gamma	Denoeud et al., 2014	https://doi.org/10.1126/science.1255274	2
Gentiales	Rubiaceae	Coffea humblotia	11	406	chromosome	35.00%	32874	Epsilon+Gamma	Raharimalala et al., 2021	https://doi.org/10.1038/s41598-021-87419-0	2
Gentiales	Rubiaceae	Leptodermis oblonga	11	513.94	chromosome	62.03%	28987	Epsilon+Gamma	Guo et al., 2021	https://doi.org/10.1016/j.ygeno.2021.07.012	2
Gentiales	Rubiaceae	Mitragy speciosa	22	727	chromosome	51.21%	39708	Epsilon+Gamma+WGD	Pootakham et al., 2022	https://doi.org/10.3390/biology11101492	3
